,M2 Supply,Can,Chi,Eur,HK,Jap,Kor,US
2019-11-30,1.8439041493374584,1.8627197500334727,1.5069547604211029,1.9289144684410093,1.7761120152626486,2.5175619720226474,1.7189211809989358,3.487301904473975
2019-12-31,1.852911306702774,1.8696677194407778,1.5557941289162351,1.967690555301131,1.8446021182334729,2.5642199722295937,1.7685112435049706,3.567118671321727
2020-01-31,1.8627043234355336,1.9152160908715974,1.5605208536845259,2.0009129551701093,1.8568846260019014,2.551111290673257,1.7913561733150316,3.673439058114173
2020-02-29,1.870393655092367,1.907066499855057,1.546494541858522,1.9684988787361393,1.808145468479491,2.4565916097436142,1.7474819775444663,3.630036411686779
2020-03-31,1.9358013347519083,1.425430083919928,1.457031770934992,1.470424638347435,1.5702528722171618,1.9956904051370532,1.4024299761377306,2.769858798355145
2020-04-30,2.060051745816808,1.5837940062753997,1.4730786511227116,1.5798298091372707,1.611882720451857,2.109087238590361,1.536707414433563,3.0992171643921576
2020-05-31,2.162830060934324,1.6540378209013349,1.4997260096298062,1.658813221281091,1.6047954217450446,2.297136703259147,1.6504758542213678,3.308812312560864
2020-06-30,2.1974683238224175,1.6976637625716076,1.5443192736790696,1.7266535255256854,1.6470421007451965,2.441671541208897,1.7515795131622625,3.4574184830517196
2020-07-31,2.214503336879773,1.7686053772464465,1.7432344852837076,1.7558842105071952,1.6901380118656093,2.4471215356862253,1.8180609031366295,3.616880027055186
2020-08-31,2.2219871360866597,1.826513287488632,1.7492011866196497,1.7698397605424336,1.6853224104836666,2.5027106595472937,1.9391818682885849,3.844901701258388
2020-09-30,2.248960247606149,1.77106884943576,1.6938973344107018,1.7395749226339667,1.6079462654919423,2.5175143025456297,1.9282468071660555,3.724221996834486
2020-10-31,2.2666481284456887,1.76946713508448,1.7079446848532935,1.7139841606579242,1.644832558255263,2.5500527959320984,1.9282118406724416,3.8225320302182944
2020-11-30,2.292134152239092,1.8729567243404486,1.7543048234154885,1.857828942825627,1.7677044656960164,2.818835137943447,2.0984370204603304,4.07451785992969
2020-12-31,2.3127841183866886,1.931628225457717,1.7761424826442216,1.8954210393744564,1.790105048101149,2.9136646493220777,2.300782384169591,4.22764947541817
2021-01-31,2.344665828416672,1.9539402803348562,1.8545093024975137,1.9378061177576527,1.9483464985217949,3.091746660280643,2.5475055632850054,4.366813120427977
2021-02-28,2.37757520069639,2.018292413232433,1.8777372542251716,1.9640055474205258,2.0137221488187533,3.2222865450226417,2.506224624218233,4.486919996886005
2021-03-31,2.407546667956279,2.055685626293255,1.768733933022849,2.0208383174441362,1.9055618697775916,3.153268233792528,2.455561873523428,4.504964750906336
2021-04-30,2.4347494922139443,2.1074145326374314,1.795540806728343,2.081688983706802,1.9174279226486437,3.1545219725693787,2.576237691561862,4.721634560275629
2021-05-31,2.4666553825321573,2.144472325016398,1.8404524287513502,2.1050235400601336,1.9230823437894191,3.0787241748594676,2.5907181858035866,4.709232431912021
2021-06-30,2.4698713608666187,2.208109110086418,1.8538281175437805,2.163758269114717,1.9153427354233687,3.1338678163923634,2.6600000954346594,4.833826763105345
2021-07-31,2.487921946029594,2.216964691623791,1.81742018815088,2.1910323169704915,1.7998125385884365,3.023823954115841,2.651636087128005,4.951193415145956
2021-08-31,2.518558371215782,2.2511320139366884,1.8354077649516174,2.2510817709674433,1.7389438983536079,3.026012891797705,2.5919416025098805,5.0472599207038416
2021-09-30,2.5382290356901027,2.2406214591035445,1.8777804099339714,2.188521724012377,1.657461240880106,3.1908571860390533,2.5119453216365786,4.999770968107145
2021-10-31,2.5615509236870078,2.3030379612656504,1.846351579571756,2.241595798978608,1.6972872633817981,3.139191312400076,2.434259776246416,5.118770376527986
2021-11-30,,2.333217365148318,1.8450278799020152,2.287409095263267,1.6512244383403003,3.1396896750504,2.3992198620177305,5.219209465709562
2021-12-31,,2.2657490998893843,1.8762530898567003,2.2328309367076917,1.5576333921768153,3.102887558059359,2.4406242786252625,5.1334415339591715
